更新时间,公司名称,企业性质,行业分类,招聘岗位,工作地点,截止时间,届次,学历要求,批次,公告来源,公告链接,投递链接,专业要求,是否笔试,⚠筛选前先看使用说明！,父记录,父记录 2,字段 1
,（必看）表格使用说明,,,工作日持续更新...,先看使用说明,,,,,,,,,,,,,
,☝筛选前必看使用说明,,,,大企业都是全国多地有岗，按城市筛选不到哈,,,,,,,,,,,,,
2026/07/27,高标科技,民企,智能硬件,"结构,电机,仿真,软件,硬件,测试,项目管理,产品开发,客户经理助理,制造技术,采购,计划,物流,仓储,财务,人力资源,IT技术,质量,运营支持","东莞, 无锡, 重庆, 台州, 徐州, 天津, 海外",尽快投递,2027届,本科、硕士,秋招专场,高标科技,https://mp.weixin.qq.com/s/wP8SAfHYSbOWa_CR6d0rVA,https://kjgb.zhiye.com/,/,/,,,,
2026/07/27,碧新小学,事业单位,教育/培训/科研,秋季实习生（教学实习，含备课、试讲、上台授课，配导师带教）,深圳,2026-08-20,"2026届, 2027届",本科,实习,碧新小学,https://mp.weixin.qq.com/s/QBYRv9Ia-CShbdJlkN2Vng?scene=1&click_id=1643372069,https://mp.weixin.qq.com/s/QBYRv9Ia-CShbdJlkN2Vng?scene=1&click_id=1643372069,师范类专业,/,,,,
2026/07/27,爱可拓,民企,咨询,总经理助理实习生（文字内容撰写、公众号运营、信息核查）,"线上, 上海",尽快投递,"2026届, 2027届, 2028届",本科、硕士、博士,实习,爱可拓,https://mp.weixin.qq.com/s/wdVI96NrqTPwHaCysTYRTg?scene=1&click_id=572002401,https://mp.weixin.qq.com/s/wdVI96NrqTPwHaCysTYRTg?scene=1&click_id=572002401,/,/,,,,
2026/07/27,红树林基金会,央国企,农林牧渔,重建海上森林高级项目专员（全职）、生态公园副园长（全职）、保育数据库实习生、合作发展实习生（公众号运营、新媒体、短视频、图片处理）,深圳,尽快投递,"2026届, 2027届",本科、硕士、博士,实习,红树林基金会,https://mp.weixin.qq.com/s/TMhldMsmv7oaOt67SRMmJA?scene=1,https://mp.weixin.qq.com/s/TMhldMsmv7oaOt67SRMmJA?scene=1,环境科学、生态学、海洋科学、林学、自然资源管理、气候变化、可持续发展、管理学、园林、环境教育、生物学、地理信息科学、计算机科学、数据科学、统计学等相关专业,/,,,,
2026/07/27,信永中和,民企,财务/审计/税务,管理咨询实习生（基金产品合规性审阅）,北京,2026-08-28,"2026届, 2027届, 2028届",硕士、博士,实习,信永中和,https://mp.weixin.qq.com/s/NFAPriycXtv7jIVoxuP0JA?scene=1,https://mp.weixin.qq.com/s/NFAPriycXtv7jIVoxuP0JA?scene=1,/,有笔试,,,,
2026/07/27,泰和泰律所,民企,法律,金融方向实习生、执行方向实习生、常年法律顾问方向实习生,长沙,尽快投递,"2026届, 2027届, 2028届",本科、硕士、博士,实习,泰和泰律所,https://mp.weixin.qq.com/s/Vs-Rqsyk75jZdzJg5SS0kA?scene=1&click_id=834384497,https://mp.weixin.qq.com/s/Vs-Rqsyk75jZdzJg5SS0kA?scene=1&click_id=834384497,法学,/,,,,
2026/07/27,黑龙江省龙江化工有限公司,央国企,能源/化工/环保,化工装置操作岗,大庆,2026-08-04,"2025届, 2026届",本科、硕士、博士,春招补招,黑龙江省龙江化工有限公司,https://mp.weixin.qq.com/s/cZamTsw1Y6RqOVxlTTZcYg,https://www.iguopin.com/job/detail?id=210638480026372343,/,/,,,,
2026/07/27,中科院空天院,央国企,高端装备与国防科技/航空航天/船舶/轨道交通装备/军工卫星,科研岗、技术岗、管理岗,"北京, 苏州, 济南, 文昌",2026-08-18,"2026届, 2027届",硕士、博士,秋招提前批,中科院空天院,https://mp.weixin.qq.com/s/EWWcco0ufDklFRKstoJLhw?scene=1&click_id=9,https://zhaopin.aircas.ac.cn/,绝大多数理工类专业,有笔试,,,,
2026/07/27,网是科技,民企,通信/电子/半导体,项目专员（研发与生产项目管理）、项目助理（26届应届毕业生）,深圳,尽快投递,2026届,本科、硕士、博士,春招补招,网是科技,https://mp.weixin.qq.com/s/pP1FMVjE9sFqbkMFgyw0Bw?scene=1,https://mp.weixin.qq.com/s/pP1FMVjE9sFqbkMFgyw0Bw?scene=1,通信工程、电子信息工程、自动化等专业,/,,,,
2026/07/27,京东方,民企,通信/电子/半导体,工艺整合研究员（玻璃基先进封装方向）、钙钛矿研发工程师、量子点材料研究员、量子点图案化工艺研究员、新材料/新工艺研究员（柔性）、新材料研究员（电池材料）、新材料研究员（合成）、新工艺研究员（触觉）、新型功能器件研究员、磁学研究员、量子点电致发光器件研究员、面板设计研究员、模拟/混合信号设计工程师、生信分析研究员、管理培训生（电池材料）、仿生模块算法研究员、技术合作研究员、技术企划研究员、技术战略研究员、专利申请与挖掘研究员、工艺开发研究员、新工艺研究员（OLED方向）、产品整合研究员、器件开发研究员、电路开发研究员、管培生（异质集成方向）、大模型算法研发、仿真算法研究员、算法开发研究员、运筹优化算法研发、细胞研究员、质量检测专员,"北京, 烟台, 合肥, 成都",尽快投递,2027届,博士,秋招提前批,京东方,https://mp.weixin.qq.com/s/inZhFMSUfX25_fl-JT-IQg?scene=1,https://campus.boe.com/,材料、微电子、物理、化学、力学、化工、电子、数学、机电、自动化、新能源科学与工程、计算机、统计、生物信息学、生物医学工程、机器人、机械、光学、能源、法学、人工智能、模式识别、软件工程、工业工程、细胞生物学、基础医学、肿瘤学、免疫学、组织工程学、发育生物学、分子生物学、生物化学、药学等相关专业,/,,,,
2026/07/27,汕头超声印制板公司,合资,通信/电子/半导体,化学工程师、工艺工程师、设备工程师、制前设计工程师,汕头,尽快投递,2026届,本科、硕士,秋招专场,汕头超声印制板公司,https://mp.weixin.qq.com/s/OEq4hRLOJaeEgiCEIAjEpQ?scene=1&click_id=2,https://mp.weixin.qq.com/s/OEq4hRLOJaeEgiCEIAjEpQ?scene=1&click_id=2,化学类、化工与制药类、材料类、机械类、仪器类、电气类、自动化类、计算机类、电子信息类、数学类、物理类等相关专业,/,,,,
2026/07/27,天津和平投资发展集团,央国企,金融业,集团公司法务岗,天津,2026-07-26,"2024届, 2025届, 2026届",本科、硕士、博士,春招补招,天津和平投资发展集团,https://mp.weixin.qq.com/s/0-nGBSdraUXPE9cR7KwlaQ,https://mp.weixin.qq.com/s/0-nGBSdraUXPE9cR7KwlaQ,法学类,/,,,,
